input_type,algorithm,input_size,comparisons,execution_time_ns
Random,Selection Sort,20,190,555300
Random,Insertion Sort,20,97,6700
Random,Merge Sort,20,61,10200
Random,Quick Sort,20,95,8700
Random,Selection Sort,50,1225,27800
Random,Insertion Sort,50,620,18100
Random,Merge Sort,50,227,18100
Random,Quick Sort,50,252,13200
Random,Selection Sort,100,4950,106600
Random,Insertion Sort,100,2410,68000
Random,Merge Sort,100,542,43600
Random,Quick Sort,100,539,25800
Random,Selection Sort,500,124750,1662400
Random,Insertion Sort,500,63067,1709500
Random,Merge Sort,500,3852,65600
Random,Quick Sort,500,5300,213800
Almost-sorted,Selection Sort,100,4950,13300
Almost-sorted,Insertion Sort,100,104,4500
Almost-sorted,Merge Sort,100,359,7600
Almost-sorted,Quick Sort,100,4740,97400
